project_id,cost_code,category,subcategory,unit,estimated_quantity,estimated_unit_cost,estimated_cost,actual_quantity,actual_unit_cost,actual_cost,project_name,project_type,location,start_date,end_date,duration_days,project_size_sqft,complexity,cost_variance,cost_variance_pct,quantity_variance,quantity_variance_pct,unit_cost_variance,unit_cost_variance_pct,budget_status
P0004,202,Materials,Asphalt,ton,1107,88.38,97840.67,1134,93.84,106409.11,West Road Project 4,Warehouse Development,"Amherst, NY",2024-04-16,2025-02-07,297,67528,Medium,8568.44,8.76,27,2.44,5.46,6.18,Watch
P0004,203,Materials,Topsoil,cubic_yard,876,35.65,31226.5,1009,37.56,37895.72,West Road Project 4,Warehouse Development,"Amherst, NY",2024-04-16,2025-02-07,297,67528,Medium,6669.22,21.36,133,15.18,1.91,5.36,Over Budget
P0004,300,Equipment,Excavator,hour,1535,140.18,215171.54,1461,154.28,225400.18,West Road Project 4,Warehouse Development,"Amherst, NY",2024-04-16,2025-02-07,297,67528,Medium,10228.64,4.75,-74,-4.82,14.1,10.06,On Budget
P0004,301,Equipment,Bulldozer,hour,1003,160.9,161386.83,994,168.41,167401.11,West Road Project 4,Warehouse Development,"Amherst, NY",2024-04-16,2025-02-07,297,67528,Medium,6014.28,3.73,-9,-0.9,7.51,4.67,On Budget
P0004,302,Equipment,Loader,hour,118,124.59,14702.15,131,127.12,16653.3,West Road Project 4,Warehouse Development,"Amherst, NY",2024-04-16,2025-02-07,297,67528,Medium,1951.15,13.27,13,11.02,2.53,2.03,Over Budget
P0004,303,Equipment,Compactor,hour,1172,89.94,105410.16,1180,89.6,105729.88,West Road Project 4,Warehouse Development,"Amherst, NY",2024-04-16,2025-02-07,297,67528,Medium,319.72,0.3,8,0.68,-0.34,-0.38,On Budget
P0004,400,Fuel,Diesel,gallon,11791,3.67,43329.17,13058,3.67,47955.03,West Road Project 4,Warehouse Development,"Amherst, NY",2024-04-16,2025-02-07,297,67528,Medium,4625.86,10.68,1267,10.75,0.0,0.0,Over Budget
P0004,500,Subcontractor,Concrete Work,job,2,26802.78,53605.56,2,27709.98,55419.95,West Road Project 4,Warehouse Development,"Amherst, NY",2024-04-16,2025-02-07,297,67528,Medium,1814.39,3.38,0,0.0,907.2,3.38,On Budget
P0004,501,Subcontractor,Utility Work,job,1,20835.17,20835.17,1,20769.11,20769.11,West Road Project 4,Warehouse Development,"Amherst, NY",2024-04-16,2025-02-07,297,67528,Medium,-66.06,-0.32,0,0.0,-66.06,-0.32,On Budget
P0005,100,Labor,General Labor,hour,5168,30.1,155555.28,5241,32.4,169815.64,North Road Project 5,Municipal Improvement,"Buffalo, NY",2024-03-12,2024-10-18,220,274214,Low,14260.36,9.17,73,1.41,2.3,7.64,Watch
P0005,101,Labor,Equipment Operators,hour,1354,41.47,56153.23,1819,44.07,80171.13,North Road Project 5,Municipal Improvement,"Buffalo, NY",2024-03-12,2024-10-18,220,274214,Low,24017.9,42.77,465,34.34,2.6,6.27,Over Budget
P0005,102,Labor,Supervisors,hour,8588,59.16,508069.79,9194,61.52,565573.7,North Road Project 5,Municipal Improvement,"Buffalo, NY",2024-03-12,2024-10-18,220,274214,Low,57503.91,11.32,606,7.06,2.36,3.99,Over Budget
P0005,103,Labor,Skilled Labor,hour,11463,48.93,560906.66,12084,54.28,655968.56,North Road Project 5,Municipal Improvement,"Buffalo, NY",2024-03-12,2024-10-18,220,274214,Low,95061.9,16.95,621,5.42,5.35,10.93,Over Budget
P0005,200,Materials,Gravel,ton,7486,33.73,252481.38,6872,35.11,241306.23,North Road Project 5,Municipal Improvement,"Buffalo, NY",2024-03-12,2024-10-18,220,274214,Low,-11175.15,-4.43,-614,-8.2,1.38,4.09,On Budget
P0005,201,Materials,Concrete,cubic_yard,9650,135.12,1303931.05,10223,146.08,1493396.52,North Road Project 5,Municipal Improvement,"Buffalo, NY",2024-03-12,2024-10-18,220,274214,Low,189465.47,14.53,573,5.94,10.96,8.11,Over Budget
P0005,202,Materials,Asphalt,ton,970,97.55,94626.38,920,94.54,86973.12,North Road Project 5,Municipal Improvement,"Buffalo, NY",2024-03-12,2024-10-18,220,274214,Low,-7653.26,-8.09,-50,-5.15,-3.01,-3.09,Under Budget
P0005,203,Materials,Topsoil,cubic_yard,11529,38.77,446946.49,11410,40.78,465247.32,North Road Project 5,Municipal Improvement,"Buffalo, NY",2024-03-12,2024-10-18,220,274214,Low,18300.83,4.09,-119,-1.03,2.01,5.18,On Budget
P0005,300,Equipment,Excavator,hour,2634,129.98,342377.79,2981,137.05,408550.57,North Road Project 5,Municipal Improvement,"Buffalo, NY",2024-03-12,2024-10-18,220,274214,Low,66172.78,19.33,347,13.17,7.07,5.44,Over Budget
P0005,301,Equipment,Bulldozer,hour,1644,148.06,243413.25,1695,161.15,273141.22,North Road Project 5,Municipal Improvement,"Buffalo, NY",2024-03-12,2024-10-18,220,274214,Low,29727.97,12.21,51,3.1,13.09,8.84,Over Budget
P0005,302,Equipment,Loader,hour,416,127.08,52863.69,558,133.75,74632.22,North Road Project 5,Municipal Improvement,"Buffalo, NY",2024-03-12,2024-10-18,220,274214,Low,21768.53,41.18,142,34.13,6.67,5.25,Over Budget
P0005,303,Equipment,Compactor,hour,4118,88.65,365058.84,3924,90.03,353288.32,North Road Project 5,Municipal Improvement,"Buffalo, NY",2024-03-12,2024-10-18,220,274214,Low,-11770.52,-3.22,-194,-4.71,1.38,1.56,On Budget
P0005,400,Fuel,Diesel,gallon,17424,3.64,63484.9,20470,3.85,78731.39,North Road Project 5,Municipal Improvement,"Buffalo, NY",2024-03-12,2024-10-18,220,274214,Low,15246.49,24.02,3046,17.48,0.21,5.77,Over Budget
P0005,500,Subcontractor,Concrete Work,job,5,28625.43,143127.16,5,28622.46,143112.28,North Road Project 5,Municipal Improvement,"Buffalo, NY",2024-03-12,2024-10-18,220,274214,Low,-14.88,-0.01,0,0.0,-2.97,-0.01,On Budget
P0005,501,Subcontractor,Utility Work,job,5,23657.1,118285.49,5,22474.26,112371.32,North Road Project 5,Municipal Improvement,"Buffalo, NY",2024-03-12,2024-10-18,220,274214,Low,-5914.17,-5.0,0,0.0,-1182.84,-5.0,On Budget
P0006,100,Labor,General Labor,hour,21616,30.82,666141.78,22186,30.85,684540.21,Central Warehouse Project 6,Municipal Improvement,"Amherst, NY",2025-12-01,2026-07-30,241,516108,Low,18398.43,2.76,570,2.64,0.03,0.1,On Budget
P0006,101,Labor,Equipment Operators,hour,20106,40.25,809168.32,18801,36.88,693297.41,Central Warehouse Project 6,Municipal Improvement,"Amherst, NY",2025-12-01,2026-07-30,241,516108,Low,-115870.91,-14.32,-1305,-6.49,-3.37,-8.37,Under Budget
P0006,102,Labor,Supervisors,hour,14483,54.73,792708.83,16932,54.29,919226.64,Central Warehouse Project 6,Municipal Improvement,"Amherst, NY",2025-12-01,2026-07-30,241,516108,Low,126517.81,15.96,2449,16.91,-0.44,-0.8,Over Budget
P0006,103,Labor,Skilled Labor,hour,12795,50.72,648959.39,16847,57.54,969310.99,Central Warehouse Project 6,Municipal Improvement,"Amherst, NY",2025-12-01,2026-07-30,241,516108,Low,320351.6,49.36,4052,31.67,6.82,13.45,Over Budget
P0006,200,Materials,Gravel,ton,6563,33.8,221815.71,6500,32.66,212279.46,Central Warehouse Project 6,Municipal Improvement,"Amherst, NY",2025-12-01,2026-07-30,241,516108,Low,-9536.25,-4.3,-63,-0.96,-1.14,-3.37,On Budget
P0006,201,Materials,Concrete,cubic_yard,1393,139.85,194804.74,1492,139.42,208021.08,Central Warehouse Project 6,Municipal Improvement,"Amherst, NY",2025-12-01,2026-07-30,241,516108,Low,13216.34,6.78,99,7.11,-0.43,-0.31,Watch
P0006,202,Materials,Asphalt,ton,11866,97.59,1158021.67,12058,97.24,1172509.95,Central Warehouse Project 6,Municipal Improvement,"Amherst, NY",2025-12-01,2026-07-30,241,516108,Low,14488.28,1.25,192,1.62,-0.35,-0.36,On Budget
P0006,203,Materials,Topsoil,cubic_yard,20418,35.96,734321.93,21536,37.18,800810.68,Central Warehouse Project 6,Municipal Improvement,"Amherst, NY",2025-12-01,2026-07-30,241,516108,Low,66488.75,9.05,1118,5.48,1.22,3.39,Watch
P0006,300,Equipment,Excavator,hour,7503,129.78,973713.4,8127,127.29,1034487.91,Central Warehouse Project 6,Municipal Improvement,"Amherst, NY",2025-12-01,2026-07-30,241,516108,Low,60774.51,6.24,624,8.32,-2.49,-1.92,Watch
P0006,301,Equipment,Bulldozer,hour,10483,160.49,1682422.52,10456,167.4,1750299.45,Central Warehouse Project 6,Municipal Improvement,"Amherst, NY",2025-12-01,2026-07-30,241,516108,Low,67876.93,4.03,-27,-0.26,6.91,4.31,On Budget
P0006,302,Equipment,Loader,hour,7443,125.77,936082.39,7678,124.16,953330.87,Central Warehouse Project 6,Municipal Improvement,"Amherst, NY",2025-12-01,2026-07-30,241,516108,Low,17248.48,1.84,235,3.16,-1.61,-1.28,On Budget
P0006,303,Equipment,Compactor,hour,6225,101.08,629253.4,6773,99.82,676092.42,Central Warehouse Project 6,Municipal Improvement,"Amherst, NY",2025-12-01,2026-07-30,241,516108,Low,46839.02,7.44,548,8.8,-1.26,-1.25,Watch
P0006,400,Fuel,Diesel,gallon,38784,3.94,152808.78,40100,4.16,166927.38,Central Warehouse Project 6,Municipal Improvement,"Amherst, NY",2025-12-01,2026-07-30,241,516108,Low,14118.6,9.24,1316,3.39,0.22,5.58,Watch
P0006,500,Subcontractor,Concrete Work,job,7,26382.14,184675.0,8,27272.48,218179.88,Central Warehouse Project 6,Municipal Improvement,"Amherst, NY",2025-12-01,2026-07-30,241,516108,Low,33504.88,18.14,1,14.29,890.34,3.37,Over Budget
P0006,501,Subcontractor,Utility Work,job,8,22848.25,182786.03,8,24143.79,193150.33,Central Warehouse Project 6,Municipal Improvement,"Amherst, NY",2025-12-01,2026-07-30,241,516108,Low,10364.3,5.67,0,0.0,1295.54,5.67,Watch
P0007,100,Labor,General Labor,hour,11107,31.74,352515.38,12439,34.68,431431.39,North Warehouse Project 7,Residential Development,"Lancaster, NY",2024-01-21,2024-06-12,143,383501,Medium,78916.01,22.39,1332,11.99,2.94,9.26,Over Budget
P0007,101,Labor,Equipment Operators,hour,15862,40.09,635937.17,17177,40.36,693192.21,North Warehouse Project 7,Residential Development,"Lancaster, NY",2024-01-21,2024-06-12,143,383501,Medium,57255.04,9.0,1315,8.29,0.27,0.67,Watch
P0007,102,Labor,Supervisors,hour,8888,51.28,455803.38,9206,54.47,501404.83,North Warehouse Project 7,Residential Development,"Lancaster, NY",2024-01-21,2024-06-12,143,383501,Medium,45601.45,10.0,318,3.58,3.19,6.22,Over Budget
P0007,103,Labor,Skilled Labor,hour,5823,47.11,274327.12,6462,48.91,316087.44,North Warehouse Project 7,Residential Development,"Lancaster, NY",2024-01-21,2024-06-12,143,383501,Medium,41760.32,15.22,639,10.97,1.8,3.82,Over Budget
P0007,200,Materials,Gravel,ton,2241,36.12,80944.26,2743,38.02,104301.84,North Warehouse Project 7,Residential Development,"Lancaster, NY",2024-01-21,2024-06-12,143,383501,Medium,23357.58,28.86,502,22.4,1.9,5.26,Over Budget
P0007,201,Materials,Concrete,cubic_yard,7768,145.6,1131011.88,8133,142.51,1159068.67,North Warehouse Project 7,Residential Development,"Lancaster, NY",2024-01-21,2024-06-12,143,383501,Medium,28056.79,2.48,365,4.7,-3.09,-2.12,On Budget
P0007,202,Materials,Asphalt,ton,1225,95.86,117422.7,1266,89.66,113508.92,North Warehouse Project 7,Residential Development,"Lancaster, NY",2024-01-21,2024-06-12,143,383501,Medium,-3913.78,-3.33,41,3.35,-6.2,-6.47,On Budget
P0007,203,Materials,Topsoil,cubic_yard,7504,35.0,262646.0,7851,37.56,294865.79,North Warehouse Project 7,Residential Development,"Lancaster, NY",2024-01-21,2024-06-12,143,383501,Medium,32219.79,12.27,347,4.62,2.56,7.31,Over Budget
P0007,300,Equipment,Excavator,hour,1315,142.5,187385.15,1363,151.95,207106.93,North Warehouse Project 7,Residential Development,"Lancaster, NY",2024-01-21,2024-06-12,143,383501,Medium,19721.78,10.52,48,3.65,9.45,6.63,Over Budget
P0007,301,Equipment,Bulldozer,hour,5535,145.21,803739.72,6516,150.77,982410.34,North Warehouse Project 7,Residential Development,"Lancaster, NY",2024-01-21,2024-06-12,143,383501,Medium,178670.62,22.23,981,17.72,5.56,3.83,Over Budget
P0007,302,Equipment,Loader,hour,9380,120.61,1131347.35,10224,125.04,1278412.15,North Warehouse Project 7,Residential Development,"Lancaster, NY",2024-01-21,2024-06-12,143,383501,Medium,147064.8,13.0,844,9.0,4.43,3.67,Over Budget
P0007,303,Equipment,Compactor,hour,8903,93.7,834167.33,8633,93.91,810693.87,North Warehouse Project 7,Residential Development,"Lancaster, NY",2024-01-21,2024-06-12,143,383501,Medium,-23473.46,-2.81,-270,-3.03,0.21,0.22,On Budget
P0007,400,Fuel,Diesel,gallon,39382,3.62,142645.91,36853,3.48,128396.25,North Warehouse Project 7,Residential Development,"Lancaster, NY",2024-01-21,2024-06-12,143,383501,Medium,-14249.66,-9.99,-2529,-6.42,-0.14,-3.87,Under Budget
P0007,500,Subcontractor,Concrete Work,job,6,27749.69,166498.15,6,28410.13,170460.81,North Warehouse Project 7,Residential Development,"Lancaster, NY",2024-01-21,2024-06-12,143,383501,Medium,3962.66,2.38,0,0.0,660.44,2.38,On Budget
P0007,501,Subcontractor,Utility Work,job,7,20773.58,145415.04,9,23419.17,210772.55,North Warehouse Project 7,Residential Development,"Lancaster, NY",2024-01-21,2024-06-12,143,383501,Medium,65357.51,44.95,2,28.57,2645.59,12.74,Over Budget
P0008,100,Labor,General Labor,hour,8110,31.89,258601.44,8021,31.66,253957.78,North Industrial Project 8,Industrial Site,"Williamsville, NY",2025-09-06,2026-04-03,209,165159,Medium,-4643.66,-1.8,-89,-1.1,-0.23,-0.72,On Budget
P0008,101,Labor,Equipment Operators,hour,7058,41.03,289614.92,6835,42.77,292320.69,North Industrial Project 8,Industrial Site,"Williamsville, NY",2025-09-06,2026-04-03,209,165159,Medium,2705.77,0.93,-223,-3.16,1.74,4.24,On Budget
P0008,102,Labor,Supervisors,hour,4597,56.56,260010.96,4736,60.54,286733.41,North Industrial Project 8,Industrial Site,"Williamsville, NY",2025-09-06,2026-04-03,209,165159,Medium,26722.45,10.28,139,3.02,3.98,7.04,Over Budget
P0008,103,Labor,Skilled Labor,hour,2054,48.64,99901.06,2135,48.91,104430.86,North Industrial Project 8,Industrial Site,"Williamsville, NY",2025-09-06,2026-04-03,209,165159,Medium,4529.8,4.53,81,3.94,0.27,0.56,On Budget
P0008,200,Materials,Gravel,ton,1843,35.54,65493.2,1764,34.54,60928.06,North Industrial Project 8,Industrial Site,"Williamsville, NY",2025-09-06,2026-04-03,209,165159,Medium,-4565.14,-6.97,-79,-4.29,-1.0,-2.81,Under Budget
