project_id,cost_code,category,subcategory,unit,actual_quantity,actual_unit_cost,actual_cost
P0006,202,Materials,Asphalt,ton,12058,97.24,1172509.95
P0006,203,Materials,Topsoil,cubic_yard,21536,37.18,800810.68
P0006,300,Equipment,Excavator,hour,8127,127.29,1034487.91
P0006,301,Equipment,Bulldozer,hour,10456,167.4,1750299.45
P0006,302,Equipment,Loader,hour,7678,124.16,953330.87
P0006,303,Equipment,Compactor,hour,6773,99.82,676092.42
P0006,400,Fuel,Diesel,gallon,40100,4.16,166927.38
P0006,500,Subcontractor,Concrete Work,job,8,27272.48,218179.88
P0006,501,Subcontractor,Utility Work,job,8,24143.79,193150.33
P0007,100,Labor,General Labor,hour,12439,34.68,431431.39
P0007,101,Labor,Equipment Operators,hour,17177,40.36,693192.21
P0007,102,Labor,Supervisors,hour,9206,54.47,501404.83
P0007,103,Labor,Skilled Labor,hour,6462,48.91,316087.44
P0007,200,Materials,Gravel,ton,2743,38.02,104301.84
P0007,201,Materials,Concrete,cubic_yard,8133,142.51,1159068.67
P0007,202,Materials,Asphalt,ton,1266,89.66,113508.92
P0007,203,Materials,Topsoil,cubic_yard,7851,37.56,294865.79
P0007,300,Equipment,Excavator,hour,1363,151.95,207106.93
P0007,301,Equipment,Bulldozer,hour,6516,150.77,982410.34
P0007,302,Equipment,Loader,hour,10224,125.04,1278412.15
P0007,303,Equipment,Compactor,hour,8633,93.91,810693.87
P0007,400,Fuel,Diesel,gallon,36853,3.48,128396.25
P0007,500,Subcontractor,Concrete Work,job,6,28410.13,170460.81
P0007,501,Subcontractor,Utility Work,job,9,23419.17,210772.55
P0008,100,Labor,General Labor,hour,8021,31.66,253957.78
P0008,101,Labor,Equipment Operators,hour,6835,42.77,292320.69
P0008,102,Labor,Supervisors,hour,4736,60.54,286733.41
P0008,103,Labor,Skilled Labor,hour,2135,48.91,104430.86
P0008,200,Materials,Gravel,ton,1764,34.54,60928.06
P0008,201,Materials,Concrete,cubic_yard,6744,146.5,987993.91
P0008,202,Materials,Asphalt,ton,6742,104.65,705527.63
P0008,203,Materials,Topsoil,cubic_yard,3931,41.71,163955.73
P0008,300,Equipment,Excavator,hour,402,145.31,58416.45
P0008,301,Equipment,Bulldozer,hour,544,152.12,82754.9
P0008,302,Equipment,Loader,hour,2380,124.54,296397.56
P0008,303,Equipment,Compactor,hour,1422,93.66,133180.58
P0008,400,Fuel,Diesel,gallon,21158,3.98,84277.07
P0008,500,Subcontractor,Concrete Work,job,1,25470.65,25470.65
P0008,501,Subcontractor,Utility Work,job,3,22665.04,67995.11
P0009,100,Labor,General Labor,hour,8232,34.63,285033.13
P0009,101,Labor,Equipment Operators,hour,6583,48.08,316510.04
P0009,102,Labor,Supervisors,hour,8338,57.09,475995.8
P0009,103,Labor,Skilled Labor,hour,1593,45.95,73193.31
P0009,200,Materials,Gravel,ton,9310,37.82,352102.99
P0009,201,Materials,Concrete,cubic_yard,3347,165.02,552309.76
P0009,202,Materials,Asphalt,ton,6255,97.95,612681.51
P0009,203,Materials,Topsoil,cubic_yard,1164,40.77,47452.63
P0009,300,Equipment,Excavator,hour,3394,147.07,499168.8
P0009,301,Equipment,Bulldozer,hour,1539,147.3,226700.15
P0009,302,Equipment,Loader,hour,4411,121.04,533925.34
P0009,303,Equipment,Compactor,hour,1134,99.57,112917.55
P0009,400,Fuel,Diesel,gallon,20036,3.98,79722.35
P0009,500,Subcontractor,Concrete Work,job,2,29285.59,58571.19
P0009,501,Subcontractor,Utility Work,job,1,24685.42,24685.42
P0010,100,Labor,General Labor,hour,5236,31.68,165878.77
P0010,101,Labor,Equipment Operators,hour,6055,44.79,271179.37
P0010,102,Labor,Supervisors,hour,10189,52.66,536568.99
P0010,103,Labor,Skilled Labor,hour,5885,49.41,290804.19
P0010,200,Materials,Gravel,ton,10838,37.23,403505.73
P0010,201,Materials,Concrete,cubic_yard,9883,152.32,1505399.13
P0010,202,Materials,Asphalt,ton,9762,86.27,842158.55
P0010,203,Materials,Topsoil,cubic_yard,10275,35.91,368947.79
P0010,300,Equipment,Excavator,hour,2265,140.99,319350.26
P0010,301,Equipment,Bulldozer,hour,4296,137.96,592663.48
P0010,302,Equipment,Loader,hour,2443,129.83,317174.59
P0010,303,Equipment,Compactor,hour,3578,99.77,356961.6
P0010,400,Fuel,Diesel,gallon,39817,3.98,158323.52
P0010,500,Subcontractor,Concrete Work,job,5,29601.77,148008.84
P0010,501,Subcontractor,Utility Work,job,6,23025.99,138155.93
P0011,100,Labor,General Labor,hour,2227,36.02,80215.2
P0011,101,Labor,Equipment Operators,hour,2529,40.35,102044.44
P0011,102,Labor,Supervisors,hour,1241,54.3,67384.31
P0011,103,Labor,Skilled Labor,hour,1007,46.56,46887.01
P0011,200,Materials,Gravel,ton,956,38.72,37012.46
P0011,201,Materials,Concrete,cubic_yard,1502,156.33,234809.25
P0011,202,Materials,Asphalt,ton,1340,96.21,128921.5
P0011,203,Materials,Topsoil,cubic_yard,435,42.27,18385.42
P0011,300,Equipment,Excavator,hour,636,128.13,81488.97
P0011,301,Equipment,Bulldozer,hour,361,171.22,61811.77
P0011,302,Equipment,Loader,hour,1051,117.77,123780.35
P0011,303,Equipment,Compactor,hour,1090,95.43,104015.38
P0011,400,Fuel,Diesel,gallon,9973,3.58,35751.57
P0011,500,Subcontractor,Concrete Work,job,1,26758.93,26758.93
P0011,501,Subcontractor,Utility Work,job,1,22738.56,22738.56
P0012,100,Labor,General Labor,hour,19202,32.39,622024.29
P0012,101,Labor,Equipment Operators,hour,22519,42.33,953189.36
P0012,102,Labor,Supervisors,hour,14962,60.97,912211.97
P0012,103,Labor,Skilled Labor,hour,5944,50.56,300534.05
P0012,200,Materials,Gravel,ton,3179,35.28,112158.65
P0012,201,Materials,Concrete,cubic_yard,12308,148.55,1828332.23
P0012,202,Materials,Asphalt,ton,17028,93.72,1595872.76
P0012,203,Materials,Topsoil,cubic_yard,20540,38.0,780551.76
P0012,300,Equipment,Excavator,hour,9775,153.95,1504889.93
P0012,301,Equipment,Bulldozer,hour,11057,166.81,1844378.2
P0012,302,Equipment,Loader,hour,1135,136.58,155013.03
P0012,303,Equipment,Compactor,hour,4157,87.62,364253.9
P0012,400,Fuel,Diesel,gallon,52403,4.03,211197.69
P0012,500,Subcontractor,Concrete Work,job,6,29272.97,175637.83
P0012,501,Subcontractor,Utility Work,job,12,24500.05,294000.6
P0013,100,Labor,General Labor,hour,6014,35.64,214344.01
P0013,101,Labor,Equipment Operators,hour,7615,43.02,327580.36
P0013,102,Labor,Supervisors,hour,16199,51.79,839003.63
P0013,103,Labor,Skilled Labor,hour,14124,50.39,711704.34
P0013,200,Materials,Gravel,ton,6777,37.49,254091.39
P0013,201,Materials,Concrete,cubic_yard,5197,164.35,854102.73
P0013,202,Materials,Asphalt,ton,14329,96.53,1383217.77
P0013,203,Materials,Topsoil,cubic_yard,9611,38.11,366320.91
P0013,300,Equipment,Excavator,hour,6403,129.97,832204.47
P0013,301,Equipment,Bulldozer,hour,8257,141.54,1168721.91
P0013,302,Equipment,Loader,hour,6010,121.87,732456.45
P0013,303,Equipment,Compactor,hour,7057,90.06,635553.74
P0013,400,Fuel,Diesel,gallon,70901,4.11,291102.06
P0013,500,Subcontractor,Concrete Work,job,2,26093.07,52186.14
P0013,501,Subcontractor,Utility Work,job,3,22769.7,68309.11
P0014,100,Labor,General Labor,hour,9097,31.86,289863.32
P0014,101,Labor,Equipment Operators,hour,3258,45.39,147895.55
P0014,102,Labor,Supervisors,hour,2634,62.75,165278.71
P0014,103,Labor,Skilled Labor,hour,6186,47.56,294232.39
P0014,200,Materials,Gravel,ton,9942,34.5,343036.45
P0014,201,Materials,Concrete,cubic_yard,6272,129.27,810771.2
P0014,202,Materials,Asphalt,ton,6678,104.1,695198.11
P0014,203,Materials,Topsoil,cubic_yard,10544,38.09,401591.78
P0014,300,Equipment,Excavator,hour,2934,149.77,439430.75
P0014,301,Equipment,Bulldozer,hour,2532,166.48,421539.8
P0014,302,Equipment,Loader,hour,6441,121.69,783800.12
P0014,303,Equipment,Compactor,hour,3985,94.07,374852.9
P0014,400,Fuel,Diesel,gallon,18157,4.22,76573.24
P0014,500,Subcontractor,Concrete Work,job,2,26765.01,53530.02
P0014,501,Subcontractor,Utility Work,job,2,21961.94,43923.87
P0015,100,Labor,General Labor,hour,2633,30.57,80477.66
P0015,101,Labor,Equipment Operators,hour,2968,39.84,118256.01
P0015,102,Labor,Supervisors,hour,3792,61.78,234269.9
P0015,103,Labor,Skilled Labor,hour,2651,52.25,138509.2
P0015,200,Materials,Gravel,ton,4059,32.96,133784.98
P0015,201,Materials,Concrete,cubic_yard,813,150.06,121999.98
P0015,202,Materials,Asphalt,ton,2659,101.88,270901.5
P0015,203,Materials,Topsoil,cubic_yard,2863,35.52,101680.57
P0015,300,Equipment,Excavator,hour,1631,143.66,234306.57
P0015,301,Equipment,Bulldozer,hour,1652,151.5,250280.33
P0015,302,Equipment,Loader,hour,1233,118.05,145556.87
P0015,303,Equipment,Compactor,hour,1189,97.64,116090.95
P0015,400,Fuel,Diesel,gallon,1629,4.12,6712.54
P0015,500,Subcontractor,Concrete Work,job,2,28029.12,56058.23
P0015,501,Subcontractor,Utility Work,job,1,24090.47,24090.47
P0016,100,Labor,General Labor,hour,6971,30.82,214874.68
P0016,101,Labor,Equipment Operators,hour,4344,39.88,173246.96
P0016,102,Labor,Supervisors,hour,5695,59.07,336384.56
P0016,103,Labor,Skilled Labor,hour,1323,53.8,71176.62
P0016,200,Materials,Gravel,ton,668,36.42,24330.21
P0016,201,Materials,Concrete,cubic_yard,4820,148.18,714235.87
P0016,202,Materials,Asphalt,ton,2930,98.62,288947.51
P0016,203,Materials,Topsoil,cubic_yard,4218,36.13,152401.63
P0016,300,Equipment,Excavator,hour,1802,129.23,232865.98
P0016,301,Equipment,Bulldozer,hour,4486,178.86,802377.8
P0016,302,Equipment,Loader,hour,3990,124.84,498120.34
P0016,303,Equipment,Compactor,hour,740,101.3,74965.41
P0016,400,Fuel,Diesel,gallon,17974,3.38,60803.22
P0016,500,Subcontractor,Concrete Work,job,1,27065.54,27065.54
P0016,501,Subcontractor,Utility Work,job,1,22981.12,22981.12
P0017,100,Labor,General Labor,hour,1674,36.73,61489.74
P0017,101,Labor,Equipment Operators,hour,1481,42.08,62318.94
P0017,102,Labor,Supervisors,hour,1937,56.87,110165.87
P0017,103,Labor,Skilled Labor,hour,802,43.52,34901.88
P0017,200,Materials,Gravel,ton,1753,35.29,61862.55
P0017,201,Materials,Concrete,cubic_yard,91,139.49,12693.3
P0017,202,Materials,Asphalt,ton,1050,95.19,99948.88
P0017,203,Materials,Topsoil,cubic_yard,1213,41.43,50256.08
P0017,300,Equipment,Excavator,hour,568,137.88,78318.0
P0017,301,Equipment,Bulldozer,hour,724,145.48,105327.56
P0017,302,Equipment,Loader,hour,358,125.04,44764.32
P0017,303,Equipment,Compactor,hour,1286,98.54,126726.45
P0017,400,Fuel,Diesel,gallon,4642,3.77,17511.95
P0017,500,Subcontractor,Concrete Work,job,1,28374.2,28374.2
P0017,501,Subcontractor,Utility Work,job,1,22249.56,22249.56
P0018,100,Labor,General Labor,hour,24972,34.0,848945.59
P0018,101,Labor,Equipment Operators,hour,21987,40.65,893841.02
P0018,102,Labor,Supervisors,hour,26334,61.88,1629671.07
P0018,103,Labor,Skilled Labor,hour,28788,48.58,1398556.71
P0018,200,Materials,Gravel,ton,15246,36.44,555624.42
P0018,201,Materials,Concrete,cubic_yard,14890,158.94,2366563.63
P0018,202,Materials,Asphalt,ton,1898,95.23,180745.09
P0018,203,Materials,Topsoil,cubic_yard,16854,41.76,703830.6
P0018,300,Equipment,Excavator,hour,4760,152.8,727322.79
P0018,301,Equipment,Bulldozer,hour,10109,152.03,1536868.04
P0018,302,Equipment,Loader,hour,1329,117.57,156245.01
P0018,303,Equipment,Compactor,hour,12752,92.78,1183117.28
P0018,400,Fuel,Diesel,gallon,58616,3.78,221678.48
P0018,500,Subcontractor,Concrete Work,job,12,27898.21,334778.53
P0018,501,Subcontractor,Utility Work,job,11,21298.65,234285.16
P0019,100,Labor,General Labor,hour,21953,33.76,741191.67
P0019,101,Labor,Equipment Operators,hour,25172,43.97,1106747.58
P0019,102,Labor,Supervisors,hour,22442,55.07,1235962.07
P0019,103,Labor,Skilled Labor,hour,22415,51.38,1151630.84
P0019,200,Materials,Gravel,ton,36566,35.01,1280290.64
P0019,201,Materials,Concrete,cubic_yard,25219,148.55,3746240.14
P0019,202,Materials,Asphalt,ton,9800,101.1,990747.11
P0019,203,Materials,Topsoil,cubic_yard,31964,41.26,1318879.35
P0019,300,Equipment,Excavator,hour,4427,135.81,601234.75
P0019,301,Equipment,Bulldozer,hour,13744,170.38,2341702.28
P0019,302,Equipment,Loader,hour,4373,119.2,521258.41
P0019,303,Equipment,Compactor,hour,2522,96.1,242358.51
P0019,400,Fuel,Diesel,gallon,45255,3.81,172294.71
P0019,500,Subcontractor,Concrete Work,job,3,31005.94,93017.82
P0019,501,Subcontractor,Utility Work,job,15,21763.2,326447.96
P0020,100,Labor,General Labor,hour,13325,31.98,426154.39
P0020,101,Labor,Equipment Operators,hour,10038,42.57,427308.05
P0020,102,Labor,Supervisors,hour,9729,55.9,543810.81
P0020,103,Labor,Skilled Labor,hour,10493,48.68,510841.86
P0020,200,Materials,Gravel,ton,7311,36.6,267614.77
P0020,201,Materials,Concrete,cubic_yard,1894,154.95,293466.98
P0020,202,Materials,Asphalt,ton,14942,89.43,1336325.85
P0020,203,Materials,Topsoil,cubic_yard,7754,39.65,307453.84
P0020,300,Equipment,Excavator,hour,6161,117.73,725308.38
P0020,301,Equipment,Bulldozer,hour,5483,170.46,934617.59
P0020,302,Equipment,Loader,hour,4877,110.4,538437.71
P0020,303,Equipment,Compactor,hour,5309,92.79,492627.84
P0020,400,Fuel,Diesel,gallon,17110,4.05,69244.85
P0020,500,Subcontractor,Concrete Work,job,6,27292.11,163752.69
P0020,501,Subcontractor,Utility Work,job,6,22037.22,132223.32
P0021,100,Labor,General Labor,hour,11662,32.92,383945.95
P0021,101,Labor,Equipment Operators,hour,14341,42.59,610744.42
P0021,102,Labor,Supervisors,hour,4391,64.96,285231.68
P0021,103,Labor,Skilled Labor,hour,25275,46.91,1185630.54
P0021,200,Materials,Gravel,ton,4945,33.6,166150.89
P0021,201,Materials,Concrete,cubic_yard,8773,168.85,1481281.75
P0021,202,Materials,Asphalt,ton,2410,107.1,258111.22
P0021,203,Materials,Topsoil,cubic_yard,3913,36.92,144471.37
P0021,300,Equipment,Excavator,hour,530,130.33,69074.99
P0021,301,Equipment,Bulldozer,hour,4733,160.31,758736.75
P0021,302,Equipment,Loader,hour,4224,126.17,532960.42
P0021,303,Equipment,Compactor,hour,1006,89.85,90388.29
P0021,400,Fuel,Diesel,gallon,51170,4.23,216385.35
P0021,500,Subcontractor,Concrete Work,job,3,30906.46,92719.38
P0021,501,Subcontractor,Utility Work,job,7,25147.67,176033.71
P0022,100,Labor,General Labor,hour,12239,32.6,399026.85
P0022,101,Labor,Equipment Operators,hour,14930,44.11,658600.95
P0022,102,Labor,Supervisors,hour,9186,59.32,544916.2
P0022,103,Labor,Skilled Labor,hour,9287,49.34,458223.06
P0022,200,Materials,Gravel,ton,11618,32.79,380961.66
P0022,201,Materials,Concrete,cubic_yard,8998,159.78,1437682.34
P0022,202,Materials,Asphalt,ton,1162,85.98,99907.59
P0022,203,Materials,Topsoil,cubic_yard,3520,37.75,132876.83
P0022,300,Equipment,Excavator,hour,7968,153.41,1222371.64
P0022,301,Equipment,Bulldozer,hour,5051,165.78,837340.92
P0022,302,Equipment,Loader,hour,3352,130.2,436420.73
P0022,303,Equipment,Compactor,hour,641,107.05,68620.03
P0022,400,Fuel,Diesel,gallon,51336,3.62,186078.08
P0022,500,Subcontractor,Concrete Work,job,8,31666.54,253332.32
P0022,501,Subcontractor,Utility Work,job,3,22741.65,68224.95
P0023,100,Labor,General Labor,hour,15930,33.97,541159.16
P0023,101,Labor,Equipment Operators,hour,5250,41.43,217531.7
P0023,102,Labor,Supervisors,hour,16654,57.3,954326.28
P0023,103,Labor,Skilled Labor,hour,7240,46.9,339527.1
P0023,200,Materials,Gravel,ton,12597,33.45,421392.36
P0023,201,Materials,Concrete,cubic_yard,11848,151.82,1798745.71
P0023,202,Materials,Asphalt,ton,8791,89.19,784054.6
P0023,203,Materials,Topsoil,cubic_yard,17220,39.87,686646.64
P0023,300,Equipment,Excavator,hour,1140,147.27,167884.85
P0023,301,Equipment,Bulldozer,hour,1861,144.03,268047.08
P0023,302,Equipment,Loader,hour,4732,134.2,635052.65
P0023,303,Equipment,Compactor,hour,2955,97.22,287297.27
P0023,400,Fuel,Diesel,gallon,67452,3.91,263778.35
P0023,500,Subcontractor,Concrete Work,job,8,26597.65,212781.19
P0023,501,Subcontractor,Utility Work,job,8,24260.82,194086.6
P0024,100,Labor,General Labor,hour,5441,34.99,190392.33
P0024,101,Labor,Equipment Operators,hour,3770,46.84,176577.35
P0024,102,Labor,Supervisors,hour,7943,51.49,409023.29
P0024,103,Labor,Skilled Labor,hour,3526,55.26,194850.78
P0024,200,Materials,Gravel,ton,11651,39.41,459143.27
P0024,201,Materials,Concrete,cubic_yard,2227,133.34,296942.15
P0024,202,Materials,Asphalt,ton,4803,105.71,507717.88
P0024,203,Materials,Topsoil,cubic_yard,17008,38.19,649550.19
P0024,300,Equipment,Excavator,hour,5240,136.03,712810.12
P0024,301,Equipment,Bulldozer,hour,2074,155.92,323373.67
P0024,302,Equipment,Loader,hour,10526,132.58,1395523.93
P0024,303,Equipment,Compactor,hour,6927,91.82,636046.71
P0024,400,Fuel,Diesel,gallon,8546,4.07,34819.72
P0024,500,Subcontractor,Concrete Work,job,9,27636.57,248729.12
P0024,501,Subcontractor,Utility Work,job,8,23658.28,189266.22
P0025,100,Labor,General Labor,hour,3244,32.1,104136.08
P0025,101,Labor,Equipment Operators,hour,4777,42.35,202316.68
P0025,102,Labor,Supervisors,hour,5134,64.0,328571.7
P0025,103,Labor,Skilled Labor,hour,2218,49.8,110463.29
P0025,200,Materials,Gravel,ton,3560,36.38,129510.16
P0025,201,Materials,Concrete,cubic_yard,3756,143.3,538223.39
P0025,202,Materials,Asphalt,ton,3988,84.94,338738.0
P0025,203,Materials,Topsoil,cubic_yard,4168,43.11,179669.21
P0025,300,Equipment,Excavator,hour,1054,130.23,137265.67
P0025,301,Equipment,Bulldozer,hour,1441,149.85,215934.68
P0025,302,Equipment,Loader,hour,311,127.22,39566.89
P0025,303,Equipment,Compactor,hour,2376,88.34,209901.77
P0025,400,Fuel,Diesel,gallon,22996,3.68,84600.7
P0025,500,Subcontractor,Concrete Work,job,1,31575.96,31575.96
P0025,501,Subcontractor,Utility Work,job,3,22531.72,67595.16
P0026,100,Labor,General Labor,hour,7747,34.27,265496.85
P0026,101,Labor,Equipment Operators,hour,12536,41.32,518016.69
P0026,102,Labor,Supervisors,hour,13834,48.58,672104.39
P0026,103,Labor,Skilled Labor,hour,29415,52.9,1555985.0
P0026,200,Materials,Gravel,ton,24318,35.13,854200.68
P0026,201,Materials,Concrete,cubic_yard,2031,139.5,283329.18
P0026,202,Materials,Asphalt,ton,22516,96.75,2178469.74
P0026,203,Materials,Topsoil,cubic_yard,8146,33.93,276373.66
P0026,300,Equipment,Excavator,hour,658,140.95,92745.13
P0026,301,Equipment,Bulldozer,hour,11572,162.55,1881019.99
P0026,302,Equipment,Loader,hour,10120,113.8,1151625.29
P0026,303,Equipment,Compactor,hour,3302,97.23,321067.07
P0026,400,Fuel,Diesel,gallon,36806,3.9,143517.66
P0026,500,Subcontractor,Concrete Work,job,10,28791.48,287914.78
P0026,501,Subcontractor,Utility Work,job,6,21999.87,131999.2
P0027,100,Labor,General Labor,hour,9845,34.24,337140.19
P0027,101,Labor,Equipment Operators,hour,12858,39.71,510552.02
P0027,102,Labor,Supervisors,hour,9495,56.33,534813.3
P0027,103,Labor,Skilled Labor,hour,18527,49.92,924778.07
P0027,200,Materials,Gravel,ton,2224,31.51,70085.12
P0027,201,Materials,Concrete,cubic_yard,12499,147.14,1839074.34
P0027,202,Materials,Asphalt,ton,11238,101.54,1141150.86
P0027,203,Materials,Topsoil,cubic_yard,11496,39.51,454247.17
P0027,300,Equipment,Excavator,hour,718,149.12,107068.06
P0027,301,Equipment,Bulldozer,hour,3251,150.53,489363.66
P0027,302,Equipment,Loader,hour,8401,128.2,1077041.39
P0027,303,Equipment,Compactor,hour,3655,90.4,330401.37
P0027,400,Fuel,Diesel,gallon,33209,3.83,127164.17
P0027,500,Subcontractor,Concrete Work,job,4,25533.61,102134.43
P0027,501,Subcontractor,Utility Work,job,8,23387.89,187103.14
P0028,100,Labor,General Labor,hour,15877,33.72,535451.7
P0028,101,Labor,Equipment Operators,hour,10090,43.04,434225.51
P0028,102,Labor,Supervisors,hour,13117,57.51,754345.85
P0028,103,Labor,Skilled Labor,hour,15567,47.31,736461.59
P0028,200,Materials,Gravel,ton,17577,36.79,646644.62
P0028,201,Materials,Concrete,cubic_yard,9715,139.98,1359892.74
P0028,202,Materials,Asphalt,ton,7804,76.1,593869.5
P0028,203,Materials,Topsoil,cubic_yard,5399,39.49,213193.2
P0028,300,Equipment,Excavator,hour,7219,127.87,923100.31
P0028,301,Equipment,Bulldozer,hour,1198,167.55,200726.06
P0028,302,Equipment,Loader,hour,3422,119.02,407301.3
P0028,303,Equipment,Compactor,hour,4938,98.28,485313.9
P0028,400,Fuel,Diesel,gallon,39140,3.94,154312.55
P0028,500,Subcontractor,Concrete Work,job,4,28413.41,113653.63
P0028,501,Subcontractor,Utility Work,job,6,24233.65,145401.92
P0029,100,Labor,General Labor,hour,3453,34.74,119962.58
P0029,101,Labor,Equipment Operators,hour,17989,41.19,741035.04
P0029,102,Labor,Supervisors,hour,6110,54.44,332645.31
P0029,103,Labor,Skilled Labor,hour,9475,47.29,448100.26
P0029,200,Materials,Gravel,ton,13139,36.14,474811.7
P0029,201,Materials,Concrete,cubic_yard,1451,141.28,204992.2
P0029,202,Materials,Asphalt,ton,4579,93.87,429837.29
P0029,203,Materials,Topsoil,cubic_yard,18999,39.27,746018.26
P0029,300,Equipment,Excavator,hour,7409,155.42,1151479.68
P0029,301,Equipment,Bulldozer,hour,7760,164.28,1274797.2
P0029,302,Equipment,Loader,hour,7630,130.24,993696.08
P0029,303,Equipment,Compactor,hour,3503,90.94,318567.82
P0029,400,Fuel,Diesel,gallon,25655,4.01,102840.32
