project_id,cost_code,category,subcategory,unit,estimated_quantity,estimated_unit_cost,estimated_cost,actual_quantity,actual_unit_cost,actual_cost,variance,variance_pct,budget_status
P0004,303,Equipment,Compactor,hour,1172,89.94,105410.16,1180,89.6,105729.88,319.72000000000116,0.3033104209309626,On Budget
P0004,400,Fuel,Diesel,gallon,11791,3.67,43329.17,13058,3.67,47955.03,4625.860000000001,10.676087264076374,Over Budget
P0004,500,Subcontractor,Concrete Work,job,2,26802.78,53605.56,2,27709.98,55419.95,1814.3899999999994,3.3847048701664524,On Budget
P0004,501,Subcontractor,Utility Work,job,1,20835.17,20835.17,1,20769.11,20769.11,-66.05999999999767,-0.3170600479861584,On Budget
P0005,100,Labor,General Labor,hour,5168,30.1,155555.28,5241,32.4,169815.64,14260.360000000015,9.167390525091797,Watch
P0005,101,Labor,Equipment Operators,hour,1354,41.47,56153.23,1819,44.07,80171.13,24017.9,42.772072060681104,Over Budget
P0005,102,Labor,Supervisors,hour,8588,59.16,508069.79,9194,61.52,565573.7,57503.909999999974,11.318112419161938,Over Budget
P0005,103,Labor,Skilled Labor,hour,11463,48.93,560906.66,12084,54.28,655968.56,95061.90000000002,16.947900030283115,Over Budget
P0005,200,Materials,Gravel,ton,7486,33.73,252481.38,6872,35.11,241306.23,-11175.149999999994,-4.426128374298332,On Budget
P0005,201,Materials,Concrete,cubic_yard,9650,135.12,1303931.05,10223,146.08,1493396.52,189465.46999999997,14.530328885104774,Over Budget
P0005,202,Materials,Asphalt,ton,970,97.55,94626.38,920,94.54,86973.12,-7653.260000000009,-8.087871479390852,Under Budget
P0005,203,Materials,Topsoil,cubic_yard,11529,38.77,446946.49,11410,40.78,465247.32,18300.830000000016,4.094635579306153,On Budget
P0005,300,Equipment,Excavator,hour,2634,129.98,342377.79,2981,137.05,408550.57,66172.78000000003,19.327416068664977,Over Budget
P0005,301,Equipment,Bulldozer,hour,1644,148.06,243413.25,1695,161.15,273141.22,29727.969999999972,12.21296293443351,Over Budget
P0005,302,Equipment,Loader,hour,416,127.08,52863.69,558,133.75,74632.22,21768.53,41.17860482308367,Over Budget
P0005,303,Equipment,Compactor,hour,4118,88.65,365058.84,3924,90.03,353288.32,-11770.520000000019,-3.224280228359904,On Budget
P0005,400,Fuel,Diesel,gallon,17424,3.64,63484.9,20470,3.85,78731.39,15246.489999999998,24.015931347454273,Over Budget
P0005,500,Subcontractor,Concrete Work,job,5,28625.43,143127.16,5,28622.46,143112.28,-14.880000000004657,-0.010396349651599777,On Budget
P0005,501,Subcontractor,Utility Work,job,5,23657.1,118285.49,5,22474.26,112371.32,-5914.169999999998,-4.9999116544218545,On Budget
P0006,100,Labor,General Labor,hour,21616,30.82,666141.78,22186,30.85,684540.21,18398.429999999935,2.761939057478114,On Budget
P0006,101,Labor,Equipment Operators,hour,20106,40.25,809168.32,18801,36.88,693297.41,-115870.90999999992,-14.31975364532313,Under Budget
P0006,102,Labor,Supervisors,hour,14483,54.73,792708.83,16932,54.29,919226.64,126517.81000000006,15.960186793932907,Over Budget
P0006,103,Labor,Skilled Labor,hour,12795,50.72,648959.39,16847,57.54,969310.99,320351.6,49.36389008871572,Over Budget
P0006,200,Materials,Gravel,ton,6563,33.8,221815.71,6500,32.66,212279.46,-9536.25,-4.299177005992949,On Budget
P0006,201,Materials,Concrete,cubic_yard,1393,139.85,194804.74,1492,139.42,208021.08,13216.339999999997,6.78440370598785,Watch
P0006,202,Materials,Asphalt,ton,11866,97.59,1158021.67,12058,97.24,1172509.95,14488.280000000028,1.2511233921900642,On Budget
P0006,203,Materials,Topsoil,cubic_yard,20418,35.96,734321.93,21536,37.18,800810.68,66488.75,9.05444155807794,Watch
P0006,300,Equipment,Excavator,hour,7503,129.78,973713.4,8127,127.29,1034487.91,60774.51000000001,6.241519321804549,Watch
P0006,301,Equipment,Bulldozer,hour,10483,160.49,1682422.52,10456,167.4,1750299.45,67876.92999999993,4.034475834286855,On Budget
P0006,302,Equipment,Loader,hour,7443,125.77,936082.39,7678,124.16,953330.87,17248.47999999998,1.8426241305532924,On Budget
P0006,303,Equipment,Compactor,hour,6225,101.08,629253.4,6773,99.82,676092.42,46839.02000000002,7.443586319915001,Watch
P0006,400,Fuel,Diesel,gallon,38784,3.94,152808.78,40100,4.16,166927.38,14118.600000000006,9.239390563814464,Watch
P0006,500,Subcontractor,Concrete Work,job,7,26382.14,184675.0,8,27272.48,218179.88,33504.880000000005,18.142618112901047,Over Budget
P0006,501,Subcontractor,Utility Work,job,8,22848.25,182786.03,8,24143.79,193150.33,10364.299999999988,5.670181687298525,Watch
P0007,100,Labor,General Labor,hour,11107,31.74,352515.38,12439,34.68,431431.39,78916.01000000001,22.38654381547835,Over Budget
P0007,101,Labor,Equipment Operators,hour,15862,40.09,635937.17,17177,40.36,693192.21,57255.03999999992,9.00325420512846,Watch
P0007,102,Labor,Supervisors,hour,8888,51.28,455803.38,9206,54.47,501404.83,45601.45000000001,10.004631821729802,Over Budget
P0007,103,Labor,Skilled Labor,hour,5823,47.11,274327.12,6462,48.91,316087.44,41760.32000000001,15.222818655333825,Over Budget
P0007,200,Materials,Gravel,ton,2241,36.12,80944.26,2743,38.02,104301.84,23357.58,28.856375980211574,Over Budget
P0007,201,Materials,Concrete,cubic_yard,7768,145.6,1131011.88,8133,142.51,1159068.67,28056.790000000037,2.4806803974508242,On Budget
P0007,202,Materials,Asphalt,ton,1225,95.86,117422.7,1266,89.66,113508.92,-3913.779999999999,-3.3330693298655194,On Budget
P0007,203,Materials,Topsoil,cubic_yard,7504,35.0,262646.0,7851,37.56,294865.79,32219.78999999998,12.267382712853033,Over Budget
P0007,300,Equipment,Excavator,hour,1315,142.5,187385.15,1363,151.95,207106.93,19721.78,10.524729414257212,Over Budget
P0007,301,Equipment,Bulldozer,hour,5535,145.21,803739.72,6516,150.77,982410.34,178670.62,22.229910449119025,Over Budget
P0007,302,Equipment,Loader,hour,9380,120.61,1131347.35,10224,125.04,1278412.15,147064.7999999998,12.999084675453545,Over Budget
P0007,303,Equipment,Compactor,hour,8903,93.7,834167.33,8633,93.91,810693.87,-23473.459999999963,-2.813998961095727,On Budget
P0007,400,Fuel,Diesel,gallon,39382,3.62,142645.91,36853,3.48,128396.25,-14249.660000000003,-9.989532822917953,Under Budget
P0007,500,Subcontractor,Concrete Work,job,6,27749.69,166498.15,6,28410.13,170460.81,3962.6600000000035,2.3800024204473162,On Budget
P0007,501,Subcontractor,Utility Work,job,7,20773.58,145415.04,9,23419.17,210772.55,65357.50999999998,44.94549532152931,Over Budget
P0008,100,Labor,General Labor,hour,8110,31.89,258601.44,8021,31.66,253957.78,-4643.6600000000035,-1.7956821895500672,On Budget
P0008,101,Labor,Equipment Operators,hour,7058,41.03,289614.92,6835,42.77,292320.69,2705.7700000000186,0.9342647126052825,On Budget
P0008,102,Labor,Supervisors,hour,4597,56.56,260010.96,4736,60.54,286733.41,26722.449999999983,10.277432151321616,Over Budget
P0008,103,Labor,Skilled Labor,hour,2054,48.64,99901.06,2135,48.91,104430.86,4529.800000000003,4.534286222788831,On Budget
P0008,200,Materials,Gravel,ton,1843,35.54,65493.2,1764,34.54,60928.06,-4565.139999999999,-6.970403034208131,Under Budget
P0008,201,Materials,Concrete,cubic_yard,6579,144.11,948070.32,6744,146.5,987993.91,39923.590000000084,4.211036793135776,On Budget
P0008,202,Materials,Asphalt,ton,5918,97.99,579905.99,6742,104.65,705527.63,125621.64000000001,21.662414626894957,Over Budget
P0008,203,Materials,Topsoil,cubic_yard,3026,37.75,114223.86,3931,41.71,163955.73,49731.87000000001,43.53895061854853,Over Budget
P0008,300,Equipment,Excavator,hour,394,138.9,54728.3,402,145.31,58416.45,3688.149999999994,6.739018021754731,Watch
P0008,301,Equipment,Bulldozer,hour,536,161.31,86464.63,544,152.12,82754.9,-3709.7300000000105,-4.290459578673974,On Budget
P0008,302,Equipment,Loader,hour,2236,121.2,271012.29,2380,124.54,296397.56,25385.27000000002,9.366833511498692,Watch
P0008,303,Equipment,Compactor,hour,1601,98.43,157587.86,1422,93.66,133180.58,-24407.28,-15.488045843125226,Under Budget
P0008,400,Fuel,Diesel,gallon,20546,3.91,80258.97,21158,3.98,84277.07,4018.100000000006,5.006418597198551,Watch
P0008,500,Subcontractor,Concrete Work,job,1,25774.19,25774.19,1,25470.65,25470.65,-303.53999999999724,-1.1776897741500207,On Budget
P0008,501,Subcontractor,Utility Work,job,2,21141.29,42282.57,3,22665.04,67995.11,25712.54,60.81120423853139,Over Budget
P0009,100,Labor,General Labor,hour,7131,33.34,237779.58,8232,34.63,285033.13,47253.55000000002,19.872837692790952,Over Budget
P0009,101,Labor,Equipment Operators,hour,6375,44.15,281450.14,6583,48.08,316510.04,35059.899999999965,12.456877797253881,Over Budget
P0009,102,Labor,Supervisors,hour,7632,59.32,452705.86,8338,57.09,475995.8,23289.940000000002,5.144607582504014,Watch
P0009,103,Labor,Skilled Labor,hour,1520,44.2,67189.34,1593,45.95,73193.31,6003.970000000001,8.935896676466834,Watch
P0009,200,Materials,Gravel,ton,8313,35.09,291688.09,9310,37.82,352102.99,60414.899999999965,20.71215866235744,Over Budget
P0009,201,Materials,Concrete,cubic_yard,2763,149.35,412648.05,3347,165.02,552309.76,139661.71000000002,33.84523687922432,Over Budget
P0009,202,Materials,Asphalt,ton,5995,93.13,558338.56,6255,97.95,612681.51,54342.94999999995,9.732974559378443,Watch
P0009,203,Materials,Topsoil,cubic_yard,1225,40.08,49097.77,1164,40.77,47452.63,-1645.1399999999994,-3.350742813777488,On Budget
P0009,300,Equipment,Excavator,hour,3383,138.6,468897.52,3394,147.07,499168.8,30271.27999999997,6.455841353138308,Watch
P0009,301,Equipment,Bulldozer,hour,1504,146.38,220152.17,1539,147.3,226700.15,6547.979999999981,2.9742972781054036,On Budget
P0009,302,Equipment,Loader,hour,3978,120.94,481101.01,4411,121.04,533925.34,52824.32999999996,10.979883413672308,Over Budget
P0009,303,Equipment,Compactor,hour,1033,98.34,101586.08,1134,99.57,112917.55,11331.470000000001,11.154549914712725,Over Budget
P0009,400,Fuel,Diesel,gallon,21635,3.93,85121.78,20036,3.98,79722.35,-5399.429999999993,-6.343182673106687,Under Budget
P0009,500,Subcontractor,Concrete Work,job,2,27059.07,54118.13,2,29285.59,58571.19,4453.060000000005,8.228407005194018,Watch
P0009,501,Subcontractor,Utility Work,job,1,23344.61,23344.61,1,24685.42,24685.42,1340.8099999999977,5.743552794413775,Watch
P0010,100,Labor,General Labor,hour,4928,29.97,147672.8,5236,31.68,165878.77,18205.97,12.328587255066608,Over Budget
P0010,101,Labor,Equipment Operators,hour,6761,44.66,301941.42,6055,44.79,271179.37,-30762.04999999999,-10.18808549022522,Under Budget
P0010,102,Labor,Supervisors,hour,10090,51.33,517898.47,10189,52.66,536568.99,18670.52000000002,3.6050540948692165,On Budget
P0010,103,Labor,Skilled Labor,hour,6487,50.82,329637.48,5885,49.41,290804.19,-38833.28999999998,-11.780605166621218,Under Budget
P0010,200,Materials,Gravel,ton,9996,34.95,349387.81,10838,37.23,403505.73,54117.919999999984,15.48935551014215,Over Budget
P0010,201,Materials,Concrete,cubic_yard,9931,152.99,1519309.63,9883,152.32,1505399.13,-13910.5,-0.9155803218334106,On Budget
P0010,202,Materials,Asphalt,ton,9360,87.33,817417.43,9762,86.27,842158.55,24741.119999999995,3.026742407486955,On Budget
P0010,203,Materials,Topsoil,cubic_yard,10076,36.6,368734.5,10275,35.91,368947.79,213.28999999997905,0.057843787332072,On Budget
P0010,300,Equipment,Excavator,hour,2184,142.9,312097.35,2265,140.99,319350.26,7252.910000000033,2.3239255315689267,On Budget
P0010,301,Equipment,Bulldozer,hour,4158,142.67,593227.91,4296,137.96,592663.48,-564.4300000000512,-0.09514555712661112,On Budget
P0010,302,Equipment,Loader,hour,2341,124.22,290792.82,2443,129.83,317174.59,26381.77000000002,9.072359489481212,Watch
P0010,303,Equipment,Compactor,hour,3528,99.5,351046.08,3578,99.77,356961.6,5915.51999999996,1.6851121083590965,On Budget
P0010,400,Fuel,Diesel,gallon,39841,3.62,144202.35,39817,3.98,158323.52,14121.169999999984,9.79260740202915,Watch
P0010,500,Subcontractor,Concrete Work,job,4,26142.33,104569.32,5,29601.77,148008.84,43439.51999999999,41.54136222746786,Over Budget
P0010,501,Subcontractor,Utility Work,job,5,22154.2,110770.98,6,23025.99,138155.93,27384.949999999997,24.72213390185769,Over Budget
P0011,100,Labor,General Labor,hour,2300,33.73,77583.41,2227,36.02,80215.2,2631.7899999999936,3.392207174188391,On Budget
P0011,101,Labor,Equipment Operators,hour,2289,40.43,92548.98,2529,40.35,102044.44,9495.460000000006,10.259929390901993,Over Budget
P0011,102,Labor,Supervisors,hour,1274,52.95,67460.62,1241,54.3,67384.31,-76.30999999999767,-0.11311784564090527,On Budget
P0011,103,Labor,Skilled Labor,hour,1111,46.98,52199.44,1007,46.56,46887.01,-5312.43,-10.177178145972448,Under Budget
P0011,200,Materials,Gravel,ton,887,35.3,31311.37,956,38.72,37012.46,5701.09,18.20773092969104,Over Budget
P0011,201,Materials,Concrete,cubic_yard,1442,148.78,214543.31,1502,156.33,234809.25,20265.940000000002,9.44608340385911,Watch
P0011,202,Materials,Asphalt,ton,1390,96.85,134627.22,1340,96.21,128921.5,-5705.720000000001,-4.2381622379189,On Budget
P0011,203,Materials,Topsoil,cubic_yard,423,40.43,17101.33,435,42.27,18385.42,1284.0899999999965,7.508714234506886,Watch
P0011,300,Equipment,Excavator,hour,618,125.49,77552.74,636,128.13,81488.97,3936.229999999996,5.075552456302635,Watch
P0011,301,Equipment,Bulldozer,hour,337,155.76,52491.89,361,171.22,61811.77,9319.879999999997,17.754895089508107,Over Budget
P0011,302,Equipment,Loader,hour,982,114.34,112277.6,1051,117.77,123780.35,11502.75,10.24491973465767,Over Budget
P0011,303,Equipment,Compactor,hour,1067,92.19,98366.98,1090,95.43,104015.38,5648.400000000009,5.742170797558296,Watch
P0011,400,Fuel,Diesel,gallon,9111,3.64,33190.92,9973,3.58,35751.57,2560.6500000000015,7.714911186553436,Watch
P0011,500,Subcontractor,Concrete Work,job,1,26031.62,26031.62,1,26758.93,26758.93,727.3100000000013,2.79394828289596,On Budget
P0011,501,Subcontractor,Utility Work,job,1,21050.48,21050.48,1,22738.56,22738.56,1688.0800000000017,8.019199562195265,Watch
P0012,100,Labor,General Labor,hour,18707,31.25,584665.79,19202,32.39,622024.29,37358.5,6.389718816967211,Watch
P0012,101,Labor,Equipment Operators,hour,22301,43.75,975734.34,22519,42.33,953189.36,-22544.97999999998,-2.3105653942649984,On Budget
P0012,102,Labor,Supervisors,hour,14413,58.2,838877.85,14962,60.97,912211.97,73334.12,8.741930663683634,Watch
P0012,103,Labor,Skilled Labor,hour,5321,51.8,275635.55,5944,50.56,300534.05,24898.5,9.033123630097787,Watch
P0012,200,Materials,Gravel,ton,3020,34.74,104923.17,3179,35.28,112158.65,7235.479999999996,6.895979219842477,Watch
P0012,201,Materials,Concrete,cubic_yard,12680,138.48,1755971.1,12308,148.55,1828332.23,72361.12999999989,4.120861100732232,On Budget
P0012,202,Materials,Asphalt,ton,16785,90.46,1518327.98,17028,93.72,1595872.76,77544.78000000003,5.107248303492374,Watch
P0012,203,Materials,Topsoil,cubic_yard,20427,39.66,810142.61,20540,38.0,780551.76,-29590.849999999977,-3.6525482840607504,On Budget
P0012,300,Equipment,Excavator,hour,9414,144.94,1364461.62,9775,153.95,1504889.93,140428.30999999982,10.291847564023076,Over Budget
P0012,301,Equipment,Bulldozer,hour,10033,162.05,1625884.14,11057,166.81,1844378.2,218494.06000000006,13.438476618635327,Over Budget
P0012,302,Equipment,Loader,hour,1003,125.92,126292.87,1135,136.58,155013.03,28720.160000000003,22.740919578437012,Over Budget
P0012,303,Equipment,Compactor,hour,3380,91.14,308040.6,4157,87.62,364253.9,56213.30000000005,18.24866592260892,Over Budget
P0012,400,Fuel,Diesel,gallon,48375,3.93,190279.84,52403,4.03,211197.69,20917.850000000006,10.993203483879325,Over Budget
P0012,500,Subcontractor,Concrete Work,job,7,26994.45,188961.18,6,29272.97,175637.83,-13323.350000000006,-7.050839754493493,Under Budget
P0012,501,Subcontractor,Utility Work,job,11,23415.87,257574.59,12,24500.05,294000.6,36426.00999999998,14.141926810404698,Over Budget
P0013,100,Labor,General Labor,hour,5239,34.34,179888.18,6014,35.64,214344.01,34455.830000000016,19.154026684799422,Over Budget
P0013,101,Labor,Equipment Operators,hour,8363,43.47,363562.65,7615,43.02,327580.36,-35982.29000000004,-9.897136023186109,Under Budget
P0013,102,Labor,Supervisors,hour,14657,51.87,760193.61,16199,51.79,839003.63,78810.02000000002,10.367098455352712,Over Budget
P0013,103,Labor,Skilled Labor,hour,14403,50.99,734360.8,14124,50.39,711704.34,-22656.46000000008,-3.0851946345720083,On Budget
P0013,200,Materials,Gravel,ton,5306,34.51,183111.57,6777,37.49,254091.39,70979.82,38.76315407049374,Over Budget
P0013,201,Materials,Concrete,cubic_yard,5299,153.8,815009.09,5197,164.35,854102.73,39093.640000000014,4.796712144646143,On Budget
P0013,202,Materials,Asphalt,ton,14188,92.23,1308566.43,14329,96.53,1383217.77,74651.34000000008,5.704818516550214,Watch
P0013,203,Materials,Topsoil,cubic_yard,9520,38.19,363613.47,9611,38.11,366320.91,2707.4400000000023,0.7445928777060988,On Budget
P0013,300,Equipment,Excavator,hour,6288,128.53,808209.85,6403,129.97,832204.47,23994.619999999995,2.968860129581444,On Budget
P0013,301,Equipment,Bulldozer,hour,7600,143.89,1093542.29,8257,141.54,1168721.91,75179.61999999988,6.874870838328519,Watch
P0013,302,Equipment,Loader,hour,5610,118.39,664146.15,6010,121.87,732456.45,68310.29999999993,10.285431903806101,Over Budget
P0013,303,Equipment,Compactor,hour,7068,91.24,644903.88,7057,90.06,635553.74,-9350.140000000014,-1.4498501699198978,On Budget
P0013,400,Fuel,Diesel,gallon,68488,3.79,259702.57,70901,4.11,291102.06,31399.48999999999,12.090558056472059,Over Budget
P0013,500,Subcontractor,Concrete Work,job,2,27465.49,54930.98,2,26093.07,52186.14,-2744.840000000004,-4.996888823028469,On Budget
P0013,501,Subcontractor,Utility Work,job,3,22452.09,67356.26,3,22769.7,68309.11,952.8500000000058,1.4146420837499083,On Budget
P0014,100,Labor,General Labor,hour,8560,30.11,257701.37,9097,31.86,289863.32,32161.95000000001,12.480317819032166,Over Budget
P0014,101,Labor,Equipment Operators,hour,3262,45.17,147359.75,3258,45.39,147895.55,535.7999999999884,0.36359996539081285,On Budget
P0014,102,Labor,Supervisors,hour,2411,57.67,139044.68,2634,62.75,165278.71,26234.03,18.867338182230345,Over Budget
P0014,103,Labor,Skilled Labor,hour,5249,44.4,233039.79,6186,47.56,294232.39,61192.600000000006,26.258434235629892,Over Budget
P0014,200,Materials,Gravel,ton,8597,32.14,276271.95,9942,34.5,343036.45,66764.5,24.166224620342383,Over Budget
P0014,201,Materials,Concrete,cubic_yard,5715,146.14,835212.88,6272,129.27,810771.2,-24441.68000000005,-2.9264012307856233,On Budget
P0014,202,Materials,Asphalt,ton,5112,97.98,500898.01,6678,104.1,695198.11,194300.09999999998,38.79035175244557,Over Budget
P0014,203,Materials,Topsoil,cubic_yard,10258,38.7,397033.27,10544,38.09,401591.78,4558.510000000009,1.148143076271671,On Budget
P0014,300,Equipment,Excavator,hour,3334,139.45,464938.88,2934,149.77,439430.75,-25508.130000000005,-5.48634048415138,Under Budget
P0014,301,Equipment,Bulldozer,hour,2153,154.56,332768.02,2532,166.48,421539.8,88771.77999999997,26.67677621184871,Over Budget
P0014,302,Equipment,Loader,hour,6106,114.75,700682.83,6441,121.69,783800.12,83117.29000000004,11.862327210158702,Over Budget
P0014,303,Equipment,Compactor,hour,4095,92.21,377606.32,3985,94.07,374852.9,-2753.4199999999837,-0.7291774141915802,On Budget
P0014,400,Fuel,Diesel,gallon,17773,4.12,73191.76,18157,4.22,76573.24,3381.4800000000105,4.620028265476893,On Budget
P0014,500,Subcontractor,Concrete Work,job,2,26489.41,52978.82,2,26765.01,53530.02,551.1999999999971,1.0404157736997484,On Budget
P0014,501,Subcontractor,Utility Work,job,2,21689.03,43378.05,2,21961.94,43923.87,545.8199999999997,1.2582861608578526,On Budget
