project_id,cost_code,category,subcategory,unit,estimated_quantity,estimated_unit_cost,estimated_cost
P0003,500,Subcontractor,Concrete Work,job,1,27159.32,27159.32
P0003,501,Subcontractor,Utility Work,job,1,20824.44,20824.44
P0004,100,Labor,General Labor,hour,851,32.04,27262.72
P0004,101,Labor,Equipment Operators,hour,2564,44.15,113208.13
P0004,102,Labor,Supervisors,hour,3341,54.87,183324.54
P0004,103,Labor,Skilled Labor,hour,3368,51.68,174074.17
P0004,200,Materials,Gravel,ton,375,31.44,11789.9
P0004,201,Materials,Concrete,cubic_yard,3289,141.21,464455.15
P0004,202,Materials,Asphalt,ton,1107,88.38,97840.67
P0004,203,Materials,Topsoil,cubic_yard,876,35.65,31226.5
P0004,300,Equipment,Excavator,hour,1535,140.18,215171.54
P0004,301,Equipment,Bulldozer,hour,1003,160.9,161386.83
P0004,302,Equipment,Loader,hour,118,124.59,14702.15
P0004,303,Equipment,Compactor,hour,1172,89.94,105410.16
P0004,400,Fuel,Diesel,gallon,11791,3.67,43329.17
P0004,500,Subcontractor,Concrete Work,job,2,26802.78,53605.56
P0004,501,Subcontractor,Utility Work,job,1,20835.17,20835.17
P0005,100,Labor,General Labor,hour,5168,30.1,155555.28
P0005,101,Labor,Equipment Operators,hour,1354,41.47,56153.23
P0005,102,Labor,Supervisors,hour,8588,59.16,508069.79
P0005,103,Labor,Skilled Labor,hour,11463,48.93,560906.66
P0005,200,Materials,Gravel,ton,7486,33.73,252481.38
P0005,201,Materials,Concrete,cubic_yard,9650,135.12,1303931.05
P0005,202,Materials,Asphalt,ton,970,97.55,94626.38
P0005,203,Materials,Topsoil,cubic_yard,11529,38.77,446946.49
P0005,300,Equipment,Excavator,hour,2634,129.98,342377.79
P0005,301,Equipment,Bulldozer,hour,1644,148.06,243413.25
P0005,302,Equipment,Loader,hour,416,127.08,52863.69
P0005,303,Equipment,Compactor,hour,4118,88.65,365058.84
P0005,400,Fuel,Diesel,gallon,17424,3.64,63484.9
P0005,500,Subcontractor,Concrete Work,job,5,28625.43,143127.16
P0005,501,Subcontractor,Utility Work,job,5,23657.1,118285.49
P0006,100,Labor,General Labor,hour,21616,30.82,666141.78
P0006,101,Labor,Equipment Operators,hour,20106,40.25,809168.32
P0006,102,Labor,Supervisors,hour,14483,54.73,792708.83
P0006,103,Labor,Skilled Labor,hour,12795,50.72,648959.39
P0006,200,Materials,Gravel,ton,6563,33.8,221815.71
P0006,201,Materials,Concrete,cubic_yard,1393,139.85,194804.74
P0006,202,Materials,Asphalt,ton,11866,97.59,1158021.67
P0006,203,Materials,Topsoil,cubic_yard,20418,35.96,734321.93
P0006,300,Equipment,Excavator,hour,7503,129.78,973713.4
P0006,301,Equipment,Bulldozer,hour,10483,160.49,1682422.52
P0006,302,Equipment,Loader,hour,7443,125.77,936082.39
P0006,303,Equipment,Compactor,hour,6225,101.08,629253.4
P0006,400,Fuel,Diesel,gallon,38784,3.94,152808.78
P0006,500,Subcontractor,Concrete Work,job,7,26382.14,184675.0
P0006,501,Subcontractor,Utility Work,job,8,22848.25,182786.03
P0007,100,Labor,General Labor,hour,11107,31.74,352515.38
P0007,101,Labor,Equipment Operators,hour,15862,40.09,635937.17
P0007,102,Labor,Supervisors,hour,8888,51.28,455803.38
P0007,103,Labor,Skilled Labor,hour,5823,47.11,274327.12
P0007,200,Materials,Gravel,ton,2241,36.12,80944.26
P0007,201,Materials,Concrete,cubic_yard,7768,145.6,1131011.88
P0007,202,Materials,Asphalt,ton,1225,95.86,117422.7
P0007,203,Materials,Topsoil,cubic_yard,7504,35.0,262646.0
P0007,300,Equipment,Excavator,hour,1315,142.5,187385.15
P0007,301,Equipment,Bulldozer,hour,5535,145.21,803739.72
P0007,302,Equipment,Loader,hour,9380,120.61,1131347.35
P0007,303,Equipment,Compactor,hour,8903,93.7,834167.33
P0007,400,Fuel,Diesel,gallon,39382,3.62,142645.91
P0007,500,Subcontractor,Concrete Work,job,6,27749.69,166498.15
P0007,501,Subcontractor,Utility Work,job,7,20773.58,145415.04
P0008,100,Labor,General Labor,hour,8110,31.89,258601.44
P0008,101,Labor,Equipment Operators,hour,7058,41.03,289614.92
P0008,102,Labor,Supervisors,hour,4597,56.56,260010.96
P0008,103,Labor,Skilled Labor,hour,2054,48.64,99901.06
P0008,200,Materials,Gravel,ton,1843,35.54,65493.2
P0008,201,Materials,Concrete,cubic_yard,6579,144.11,948070.32
P0008,202,Materials,Asphalt,ton,5918,97.99,579905.99
P0008,203,Materials,Topsoil,cubic_yard,3026,37.75,114223.86
P0008,300,Equipment,Excavator,hour,394,138.9,54728.3
P0008,301,Equipment,Bulldozer,hour,536,161.31,86464.63
P0008,302,Equipment,Loader,hour,2236,121.2,271012.29
P0008,303,Equipment,Compactor,hour,1601,98.43,157587.86
P0008,400,Fuel,Diesel,gallon,20546,3.91,80258.97
P0008,500,Subcontractor,Concrete Work,job,1,25774.19,25774.19
P0008,501,Subcontractor,Utility Work,job,2,21141.29,42282.57
P0009,100,Labor,General Labor,hour,7131,33.34,237779.58
P0009,101,Labor,Equipment Operators,hour,6375,44.15,281450.14
P0009,102,Labor,Supervisors,hour,7632,59.32,452705.86
P0009,103,Labor,Skilled Labor,hour,1520,44.2,67189.34
P0009,200,Materials,Gravel,ton,8313,35.09,291688.09
P0009,201,Materials,Concrete,cubic_yard,2763,149.35,412648.05
P0009,202,Materials,Asphalt,ton,5995,93.13,558338.56
P0009,203,Materials,Topsoil,cubic_yard,1225,40.08,49097.77
P0009,300,Equipment,Excavator,hour,3383,138.6,468897.52
P0009,301,Equipment,Bulldozer,hour,1504,146.38,220152.17
P0009,302,Equipment,Loader,hour,3978,120.94,481101.01
P0009,303,Equipment,Compactor,hour,1033,98.34,101586.08
P0009,400,Fuel,Diesel,gallon,21635,3.93,85121.78
P0009,500,Subcontractor,Concrete Work,job,2,27059.07,54118.13
P0009,501,Subcontractor,Utility Work,job,1,23344.61,23344.61
P0010,100,Labor,General Labor,hour,4928,29.97,147672.8
P0010,101,Labor,Equipment Operators,hour,6761,44.66,301941.42
P0010,102,Labor,Supervisors,hour,10090,51.33,517898.47
P0010,103,Labor,Skilled Labor,hour,6487,50.82,329637.48
P0010,200,Materials,Gravel,ton,9996,34.95,349387.81
P0010,201,Materials,Concrete,cubic_yard,9931,152.99,1519309.63
P0010,202,Materials,Asphalt,ton,9360,87.33,817417.43
P0010,203,Materials,Topsoil,cubic_yard,10076,36.6,368734.5
P0010,300,Equipment,Excavator,hour,2184,142.9,312097.35
P0010,301,Equipment,Bulldozer,hour,4158,142.67,593227.91
P0010,302,Equipment,Loader,hour,2341,124.22,290792.82
P0010,303,Equipment,Compactor,hour,3528,99.5,351046.08
P0010,400,Fuel,Diesel,gallon,39841,3.62,144202.35
P0010,500,Subcontractor,Concrete Work,job,4,26142.33,104569.32
P0010,501,Subcontractor,Utility Work,job,5,22154.2,110770.98
P0011,100,Labor,General Labor,hour,2300,33.73,77583.41
P0011,101,Labor,Equipment Operators,hour,2289,40.43,92548.98
P0011,102,Labor,Supervisors,hour,1274,52.95,67460.62
P0011,103,Labor,Skilled Labor,hour,1111,46.98,52199.44
P0011,200,Materials,Gravel,ton,887,35.3,31311.37
P0011,201,Materials,Concrete,cubic_yard,1442,148.78,214543.31
P0011,202,Materials,Asphalt,ton,1390,96.85,134627.22
P0011,203,Materials,Topsoil,cubic_yard,423,40.43,17101.33
P0011,300,Equipment,Excavator,hour,618,125.49,77552.74
P0011,301,Equipment,Bulldozer,hour,337,155.76,52491.89
P0011,302,Equipment,Loader,hour,982,114.34,112277.6
P0011,303,Equipment,Compactor,hour,1067,92.19,98366.98
P0011,400,Fuel,Diesel,gallon,9111,3.64,33190.92
P0011,500,Subcontractor,Concrete Work,job,1,26031.62,26031.62
P0011,501,Subcontractor,Utility Work,job,1,21050.48,21050.48
P0012,100,Labor,General Labor,hour,18707,31.25,584665.79
P0012,101,Labor,Equipment Operators,hour,22301,43.75,975734.34
P0012,102,Labor,Supervisors,hour,14413,58.2,838877.85
P0012,103,Labor,Skilled Labor,hour,5321,51.8,275635.55
P0012,200,Materials,Gravel,ton,3020,34.74,104923.17
P0012,201,Materials,Concrete,cubic_yard,12680,138.48,1755971.1
P0012,202,Materials,Asphalt,ton,16785,90.46,1518327.98
P0012,203,Materials,Topsoil,cubic_yard,20427,39.66,810142.61
P0012,300,Equipment,Excavator,hour,9414,144.94,1364461.62
P0012,301,Equipment,Bulldozer,hour,10033,162.05,1625884.14
P0012,302,Equipment,Loader,hour,1003,125.92,126292.87
P0012,303,Equipment,Compactor,hour,3380,91.14,308040.6
P0012,400,Fuel,Diesel,gallon,48375,3.93,190279.84
P0012,500,Subcontractor,Concrete Work,job,7,26994.45,188961.18
P0012,501,Subcontractor,Utility Work,job,11,23415.87,257574.59
P0013,100,Labor,General Labor,hour,5239,34.34,179888.18
P0013,101,Labor,Equipment Operators,hour,8363,43.47,363562.65
P0013,102,Labor,Supervisors,hour,14657,51.87,760193.61
P0013,103,Labor,Skilled Labor,hour,14403,50.99,734360.8
P0013,200,Materials,Gravel,ton,5306,34.51,183111.57
P0013,201,Materials,Concrete,cubic_yard,5299,153.8,815009.09
P0013,202,Materials,Asphalt,ton,14188,92.23,1308566.43
P0013,203,Materials,Topsoil,cubic_yard,9520,38.19,363613.47
P0013,300,Equipment,Excavator,hour,6288,128.53,808209.85
P0013,301,Equipment,Bulldozer,hour,7600,143.89,1093542.29
P0013,302,Equipment,Loader,hour,5610,118.39,664146.15
P0013,303,Equipment,Compactor,hour,7068,91.24,644903.88
P0013,400,Fuel,Diesel,gallon,68488,3.79,259702.57
P0013,500,Subcontractor,Concrete Work,job,2,27465.49,54930.98
P0013,501,Subcontractor,Utility Work,job,3,22452.09,67356.26
P0014,100,Labor,General Labor,hour,8560,30.11,257701.37
P0014,101,Labor,Equipment Operators,hour,3262,45.17,147359.75
P0014,102,Labor,Supervisors,hour,2411,57.67,139044.68
P0014,103,Labor,Skilled Labor,hour,5249,44.4,233039.79
P0014,200,Materials,Gravel,ton,8597,32.14,276271.95
P0014,201,Materials,Concrete,cubic_yard,5715,146.14,835212.88
P0014,202,Materials,Asphalt,ton,5112,97.98,500898.01
P0014,203,Materials,Topsoil,cubic_yard,10258,38.7,397033.27
P0014,300,Equipment,Excavator,hour,3334,139.45,464938.88
P0014,301,Equipment,Bulldozer,hour,2153,154.56,332768.02
P0014,302,Equipment,Loader,hour,6106,114.75,700682.83
P0014,303,Equipment,Compactor,hour,4095,92.21,377606.32
P0014,400,Fuel,Diesel,gallon,17773,4.12,73191.76
P0014,500,Subcontractor,Concrete Work,job,2,26489.41,52978.82
P0014,501,Subcontractor,Utility Work,job,2,21689.03,43378.05
P0015,100,Labor,General Labor,hour,2619,30.71,80417.22
P0015,101,Labor,Equipment Operators,hour,2882,39.12,112757.06
P0015,102,Labor,Supervisors,hour,3274,57.05,186797.03
P0015,103,Labor,Skilled Labor,hour,2603,51.77,134746.84
P0015,200,Materials,Gravel,ton,3969,31.84,126376.85
P0015,201,Materials,Concrete,cubic_yard,836,146.91,122813.96
P0015,202,Materials,Asphalt,ton,2490,92.25,229695.4
P0015,203,Materials,Topsoil,cubic_yard,2826,35.84,101270.18
P0015,300,Equipment,Excavator,hour,1437,134.09,192692.04
P0015,301,Equipment,Bulldozer,hour,1453,151.86,220647.99
P0015,302,Equipment,Loader,hour,1218,120.49,146762.32
P0015,303,Equipment,Compactor,hour,1274,90.64,115473.95
P0015,400,Fuel,Diesel,gallon,1591,3.93,6250.29
P0015,500,Subcontractor,Concrete Work,job,2,26747.77,53495.53
P0015,501,Subcontractor,Utility Work,job,1,22580.78,22580.78
P0016,100,Labor,General Labor,hour,6731,29.87,201065.89
P0016,101,Labor,Equipment Operators,hour,4194,41.59,174411.46
P0016,102,Labor,Supervisors,hour,5256,56.77,298370.69
P0016,103,Labor,Skilled Labor,hour,1083,51.16,55406.8
P0016,200,Materials,Gravel,ton,714,36.24,25873.04
P0016,201,Materials,Concrete,cubic_yard,4521,147.2,665488.64
P0016,202,Materials,Asphalt,ton,2955,91.9,271577.31
P0016,203,Materials,Topsoil,cubic_yard,3910,36.5,142716.61
P0016,300,Equipment,Excavator,hour,1682,128.65,216396.53
P0016,301,Equipment,Bulldozer,hour,3431,163.92,562421.98
P0016,302,Equipment,Loader,hour,3282,122.65,402533.11
P0016,303,Equipment,Compactor,hour,667,99.32,66244.18
P0016,400,Fuel,Diesel,gallon,18494,3.67,67796.73
P0016,500,Subcontractor,Concrete Work,job,1,26700.93,26700.93
P0016,501,Subcontractor,Utility Work,job,1,22057.81,22057.81
P0017,100,Labor,General Labor,hour,1254,33.57,42091.67
P0017,101,Labor,Equipment Operators,hour,1495,40.35,60327.45
P0017,102,Labor,Supervisors,hour,2071,57.52,119123.81
P0017,103,Labor,Skilled Labor,hour,772,46.61,35980.54
P0017,200,Materials,Gravel,ton,1996,36.09,72037.65
P0017,201,Materials,Concrete,cubic_yard,82,140.27,11501.8
P0017,202,Materials,Asphalt,ton,993,91.84,91200.72
P0017,203,Materials,Topsoil,cubic_yard,1353,39.76,53794.94
P0017,300,Equipment,Excavator,hour,547,140.02,76591.02
P0017,301,Equipment,Bulldozer,hour,749,145.54,109006.98
P0017,302,Equipment,Loader,hour,342,115.54,39513.97
P0017,303,Equipment,Compactor,hour,1233,93.7,115537.01
P0017,400,Fuel,Diesel,gallon,4413,4.01,17679.42
P0017,500,Subcontractor,Concrete Work,job,1,25859.19,25859.19
P0017,501,Subcontractor,Utility Work,job,1,21785.62,21785.62
P0018,100,Labor,General Labor,hour,23087,32.92,759930.68
P0018,101,Labor,Equipment Operators,hour,20673,41.38,855501.66
P0018,102,Labor,Supervisors,hour,26164,57.04,1492279.06
P0018,103,Labor,Skilled Labor,hour,25969,45.72,1187364.8
P0018,200,Materials,Gravel,ton,15239,35.74,544703.69
P0018,201,Materials,Concrete,cubic_yard,12345,148.43,1832348.13
P0018,202,Materials,Asphalt,ton,1791,91.69,164225.22
P0018,203,Materials,Topsoil,cubic_yard,16244,40.93,664847.11
P0018,300,Equipment,Excavator,hour,3841,144.56,555251.09
P0018,301,Equipment,Bulldozer,hour,10837,157.69,1708870.73
P0018,302,Equipment,Loader,hour,1223,117.12,143236.47
P0018,303,Equipment,Compactor,hour,12426,93.07,1156528.4
P0018,400,Fuel,Diesel,gallon,53273,3.88,206677.29
P0018,500,Subcontractor,Concrete Work,job,12,25825.53,309906.42
P0018,501,Subcontractor,Utility Work,job,11,21461.31,236074.39
P0019,100,Labor,General Labor,hour,21350,31.66,675893.93
P0019,101,Labor,Equipment Operators,hour,25905,40.7,1054395.63
P0019,102,Labor,Supervisors,hour,20846,52.23,1088813.27
P0019,103,Labor,Skilled Labor,hour,19935,48.65,969842.75
P0019,200,Materials,Gravel,ton,31761,33.63,1067967.2
P0019,201,Materials,Concrete,cubic_yard,24939,138.62,3457068.41
P0019,202,Materials,Asphalt,ton,9697,94.28,914207.15
P0019,203,Materials,Topsoil,cubic_yard,32566,39.74,1294276.62
P0019,300,Equipment,Excavator,hour,4114,134.22,552190.08
P0019,301,Equipment,Bulldozer,hour,13762,158.22,2177492.3
P0019,302,Equipment,Loader,hour,3857,120.27,463891.65
P0019,303,Equipment,Compactor,hour,2161,98.77,213441.26
P0019,400,Fuel,Diesel,gallon,44871,3.74,167725.66
P0019,500,Subcontractor,Concrete Work,job,3,27158.64,81475.92
P0019,501,Subcontractor,Utility Work,job,13,21327.53,277257.83
P0020,100,Labor,General Labor,hour,13596,31.56,429142.15
P0020,101,Labor,Equipment Operators,hour,9708,43.57,422936.63
P0020,102,Labor,Supervisors,hour,8817,58.24,513519.85
P0020,103,Labor,Skilled Labor,hour,9640,47.76,460446.03
P0020,200,Materials,Gravel,ton,6793,36.39,247219.2
P0020,201,Materials,Concrete,cubic_yard,1840,154.86,284944.41
P0020,202,Materials,Asphalt,ton,14030,85.67,1201914.54
P0020,203,Materials,Topsoil,cubic_yard,6125,36.2,221733.16
P0020,300,Equipment,Excavator,hour,6843,125.51,858858.54
P0020,301,Equipment,Bulldozer,hour,5025,165.17,829995.75
P0020,302,Equipment,Loader,hour,4727,111.91,528990.58
P0020,303,Equipment,Compactor,hour,5142,88.41,454610.49
P0020,400,Fuel,Diesel,gallon,16350,3.97,64867.95
P0020,500,Subcontractor,Concrete Work,job,6,27441.98,164651.86
P0020,501,Subcontractor,Utility Work,job,6,22362.7,134176.2
P0021,100,Labor,General Labor,hour,11656,31.47,366783.12
P0021,101,Labor,Equipment Operators,hour,14140,43.94,621379.91
P0021,102,Labor,Supervisors,hour,3548,58.89,208952.27
P0021,103,Labor,Skilled Labor,hour,23384,45.44,1062453.15
P0021,200,Materials,Gravel,ton,5288,34.71,183548.39
P0021,201,Materials,Concrete,cubic_yard,7499,156.03,1170058.92
P0021,202,Materials,Asphalt,ton,2250,99.16,223120.47
P0021,203,Materials,Topsoil,cubic_yard,4096,37.87,155112.47
P0021,300,Equipment,Excavator,hour,510,127.96,65261.47
P0021,301,Equipment,Bulldozer,hour,4975,160.34,797674.7
P0021,302,Equipment,Loader,hour,4422,120.91,534650.58
P0021,303,Equipment,Compactor,hour,985,89.32,87980.81
P0021,400,Fuel,Diesel,gallon,47142,3.95,186028.46
P0021,500,Subcontractor,Concrete Work,job,3,29342.74,88028.21
P0021,501,Subcontractor,Utility Work,job,7,23419.61,163937.26
P0022,100,Labor,General Labor,hour,11727,32.07,376038.37
P0022,101,Labor,Equipment Operators,hour,14440,43.62,629924.35
P0022,102,Labor,Supervisors,hour,8329,54.18,451246.06
P0022,103,Labor,Skilled Labor,hour,9271,47.01,435835.1
P0022,200,Materials,Gravel,ton,11300,34.4,388701.18
P0022,201,Materials,Concrete,cubic_yard,8173,147.06,1201947.92
P0022,202,Materials,Asphalt,ton,1114,90.18,100463.33
P0022,203,Materials,Topsoil,cubic_yard,3314,36.75,121780.26
P0022,300,Equipment,Excavator,hour,6108,136.94,836447.08
P0022,301,Equipment,Bulldozer,hour,4849,161.46,782912.38
P0022,302,Equipment,Loader,hour,3081,124.0,382031.49
P0022,303,Equipment,Compactor,hour,643,97.23,62517.81
P0022,400,Fuel,Diesel,gallon,48276,3.62,174663.29
P0022,500,Subcontractor,Concrete Work,job,8,30223.86,241790.91
P0022,501,Subcontractor,Utility Work,job,3,21879.2,65637.61
P0023,100,Labor,General Labor,hour,12606,30.46,384018.94
P0023,101,Labor,Equipment Operators,hour,5621,42.38,238214.53
P0023,102,Labor,Supervisors,hour,15027,54.39,817375.47
P0023,103,Labor,Skilled Labor,hour,7048,46.71,329221.52
P0023,200,Materials,Gravel,ton,11746,34.83,409164.94
P0023,201,Materials,Concrete,cubic_yard,11790,145.15,1711281.52
P0023,202,Materials,Asphalt,ton,9052,94.62,856516.86
P0023,203,Materials,Topsoil,cubic_yard,15495,36.65,567907.64
P0023,300,Equipment,Excavator,hour,1217,145.62,177220.31
P0023,301,Equipment,Bulldozer,hour,1924,148.55,285813.54
P0023,302,Equipment,Loader,hour,4568,127.93,584402.82
P0023,303,Equipment,Compactor,hour,2931,90.09,264063.54
P0023,400,Fuel,Diesel,gallon,67656,3.7,250034.0
P0023,500,Subcontractor,Concrete Work,job,8,27081.92,216655.39
P0023,501,Subcontractor,Utility Work,job,8,23549.58,188396.62
P0024,100,Labor,General Labor,hour,4739,31.93,151303.88
P0024,101,Labor,Equipment Operators,hour,4135,43.57,180168.96
P0024,102,Labor,Supervisors,hour,7768,51.0,396153.96
P0024,103,Labor,Skilled Labor,hour,3615,50.86,183876.21
P0024,200,Materials,Gravel,ton,10540,36.41,383741.01
P0024,201,Materials,Concrete,cubic_yard,2161,135.16,292070.68
P0024,202,Materials,Asphalt,ton,4475,97.82,437765.42
P0024,203,Materials,Topsoil,cubic_yard,16035,36.32,582330.54
P0024,300,Equipment,Excavator,hour,5357,129.52,693832.61
P0024,301,Equipment,Bulldozer,hour,1653,145.47,240460.91
P0024,302,Equipment,Loader,hour,9162,121.43,1112534.2
P0024,303,Equipment,Compactor,hour,6992,88.56,619224.71
P0024,400,Fuel,Diesel,gallon,7345,3.89,28537.55
P0024,500,Subcontractor,Concrete Work,job,9,28294.28,254648.55
P0024,501,Subcontractor,Utility Work,job,8,22990.9,183927.2
P0025,100,Labor,General Labor,hour,3399,32.52,110537.56
P0025,101,Labor,Equipment Operators,hour,4891,42.8,209341.09
P0025,102,Labor,Supervisors,hour,3984,57.41,228711.22
P0025,103,Labor,Skilled Labor,hour,2189,49.39,108120.82
P0025,200,Materials,Gravel,ton,3191,36.17,115424.78
P0025,201,Materials,Concrete,cubic_yard,3842,145.88,560457.76
P0025,202,Materials,Asphalt,ton,4013,85.07,341382.56
P0025,203,Materials,Topsoil,cubic_yard,3749,39.28,147251.34
P0025,300,Equipment,Excavator,hour,1036,130.96,135676.51
P0025,301,Equipment,Bulldozer,hour,1436,150.45,216048.14
P0025,302,Equipment,Loader,hour,289,125.39,36239.01
P0025,303,Equipment,Compactor,hour,2385,87.52,208741.16
P0025,400,Fuel,Diesel,gallon,22147,3.85,85272.46
P0025,500,Subcontractor,Concrete Work,job,1,29799.09,29799.09
P0025,501,Subcontractor,Utility Work,job,3,22749.22,68247.65
P0026,100,Labor,General Labor,hour,8106,33.83,274216.43
P0026,101,Labor,Equipment Operators,hour,12420,42.8,531600.69
P0026,102,Labor,Supervisors,hour,13647,53.28,727105.8
P0026,103,Labor,Skilled Labor,hour,25881,50.12,1297205.18
P0026,200,Materials,Gravel,ton,22413,35.22,789381.94
P0026,201,Materials,Concrete,cubic_yard,1996,137.1,273658.18
P0026,202,Materials,Asphalt,ton,23316,98.6,2298917.09
P0026,203,Materials,Topsoil,cubic_yard,8173,35.18,287513.52
P0026,300,Equipment,Excavator,hour,690,142.73,98484.96
P0026,301,Equipment,Bulldozer,hour,9927,151.63,1505230.98
P0026,302,Equipment,Loader,hour,10649,112.93,1202631.33
P0026,303,Equipment,Compactor,hour,3537,92.23,326206.3
P0026,400,Fuel,Diesel,gallon,35330,3.75,132364.23
P0026,500,Subcontractor,Concrete Work,job,11,27930.07,307230.8
P0026,501,Subcontractor,Utility Work,job,5,21283.3,106416.5
P0027,100,Labor,General Labor,hour,8973,31.53,282896.3
P0027,101,Labor,Equipment Operators,hour,13644,40.91,558151.73
P0027,102,Labor,Supervisors,hour,8294,51.67,428588.98
P0027,103,Labor,Skilled Labor,hour,17677,45.24,799773.0
P0027,200,Materials,Gravel,ton,2187,31.47,68825.04
P0027,201,Materials,Concrete,cubic_yard,11208,136.12,1525643.04
P0027,202,Materials,Asphalt,ton,11261,94.03,1058870.88
P0027,203,Materials,Topsoil,cubic_yard,9966,38.72,385904.79
P0027,300,Equipment,Excavator,hour,682,133.48,91033.26
P0027,301,Equipment,Bulldozer,hour,3087,154.28,476261.01
P0027,302,Equipment,Loader,hour,8601,125.6,1080252.06
P0027,303,Equipment,Compactor,hour,3445,88.82,305977.07
P0027,400,Fuel,Diesel,gallon,31162,3.95,123066.92
P0027,500,Subcontractor,Concrete Work,job,4,26306.59,105226.37
P0027,501,Subcontractor,Utility Work,job,6,20684.88,124109.28
P0028,100,Labor,General Labor,hour,14544,31.91,464120.75
P0028,101,Labor,Equipment Operators,hour,9212,42.9,395162.81
P0028,102,Labor,Supervisors,hour,10729,52.06,558550.98
P0028,103,Labor,Skilled Labor,hour,14510,45.14,654968.2
P0028,200,Materials,Gravel,ton,16862,34.57,582983.72
P0028,201,Materials,Concrete,cubic_yard,9996,139.28,1392286.31
P0028,202,Materials,Asphalt,ton,7689,85.27,655603.79
P0028,203,Materials,Topsoil,cubic_yard,5627,40.4,227314.66
P0028,300,Equipment,Excavator,hour,7592,124.49,945162.21
P0028,301,Equipment,Bulldozer,hour,1089,162.82,177309.73
P0028,302,Equipment,Loader,hour,3465,123.19,426861.47
P0028,303,Equipment,Compactor,hour,4246,89.5,380007.81
P0028,400,Fuel,Diesel,gallon,29467,3.6,105963.11
P0028,500,Subcontractor,Concrete Work,job,4,27894.55,111578.19
P0028,501,Subcontractor,Utility Work,job,6,22685.18,136111.09
P0029,100,Labor,General Labor,hour,3451,32.37,111715.54
P0029,101,Labor,Equipment Operators,hour,16542,39.26,649465.44
P0029,102,Labor,Supervisors,hour,6263,54.93,344027.09
P0029,103,Labor,Skilled Labor,hour,9905,48.18,477232.49
P0029,200,Materials,Gravel,ton,12900,34.83,449259.8
P0029,201,Materials,Concrete,cubic_yard,1419,134.52,190877.84
P0029,202,Materials,Asphalt,ton,4760,90.52,430854.9
P0029,203,Materials,Topsoil,cubic_yard,16247,38.27,621808.68
P0029,300,Equipment,Excavator,hour,7575,145.73,1103873.07
P0029,301,Equipment,Bulldozer,hour,7845,155.74,1221756.03
P0029,302,Equipment,Loader,hour,8044,122.46,985067.4
P0029,303,Equipment,Compactor,hour,3285,95.77,314595.16
P0029,400,Fuel,Diesel,gallon,25154,4.04,101735.7
